ID,R_min,R_max,R_mean,R_median,R_std,G_min,G_max,G_mean,G_median,G_std,B_min,B_max,B_mean,B_median,B_std,pixel_ratio,area,perimeter,circularity_laplacian,bounding_box_ratio,center_mass_x,center_mass_y,bug type,species
11,12,255,120.44338849796112,124.0,45.803679936673696,2,246,89.04904292325656,90.0,42.44465622019857,0,255,82.30172524469496,80.0,46.70092122044808,0.0136309166666666,327142,7644,0.0703565947812463,0.9183673469387756,2787.381620213852,2225.231361304877,Bee,Apis mellifera
12,10,235,109.42017544264854,108.0,44.65068681391251,0,195,75.59593451619311,72.0,37.5926957726924,0,255,82.70238727648155,73.0,51.19626268048209,0.0180400833333333,432962,8316,0.0786739007891593,1.055045871559633,3183.4857654944312,1889.310655438584,Bee,Apis mellifera
13,5,255,104.91751429738562,100.0,47.95069201817908,3,255,78.35397263071896,71.0,42.87685784035862,0,255,52.593098958333336,43.0,39.57152026858,0.01632,391680,11107,0.0398976867682928,2.0675675675675675,2625.3422691993464,1953.791753472222,Bee,Apis mellifera
14,10,255,137.159940129971,136.0,52.05805245710648,0,245,107.28282525908944,103.0,48.880828105754325,0,255,99.5560296318751,91.0,51.476520825639454,0.0109960416666666,263905,6268,0.0844110897305387,1.2217261904761905,2850.837945472803,2072.786320835149,Bee,Apis mellifera
15,9,255,123.58951432688691,125.0,51.207615915481725,0,254,94.87885844367403,98.0,45.32117091181814,0,255,80.78055688985422,82.0,41.5175954718133,0.0159606666666666,383056,16166,0.0184190397187855,1.098360655737705,2665.479877615805,1910.811907397352,Bee,Apis mellifera
16,13,255,107.12669792072114,100.0,46.72087409835131,0,255,87.01905489127606,84.0,40.77949541829756,0,255,66.91029623587804,62.0,34.57744720677461,0.0168067083333333,403361,10807,0.0434003734079262,1.373913043478261,1897.0505998348876,2888.4394872087287,Bee,Apis mellifera
17,3,255,122.81285070422535,117.0,48.48137159819738,0,255,106.66628169014083,110.0,47.31637552320597,0,255,74.72309014084507,66.0,44.37497448299574,0.0147916666666666,355000,8946,0.0557417282103449,1.0403225806451613,2895.251698591549,1937.4873126760565,Bee,Apis mellifera
18,17,255,137.03837207539158,133.0,49.88789876042468,0,255,112.89966185992206,110.0,47.94826171025425,0,255,96.1244082548636,88.0,48.8387449664923,0.013739375,329745,9172,0.0492560964359114,1.0240615976900866,2890.4373894979453,1860.966986610866,Bee,Apis mellifera
19,7,255,107.66460156431503,106.0,37.61886929525813,0,255,88.38125717595008,96.0,38.37863581415881,0,255,65.91770679362557,63.0,33.291459253623856,0.0123749583333333,296999,9854,0.0384361372207733,1.4634146341463414,3001.325105471736,1919.1869130872492,Bee,Apis mellifera
20,8,255,91.69727136974524,88.0,55.17673290675578,0,255,68.29882627742259,61.0,47.40641279552245,0,255,60.56009644909595,49.0,45.91920867051525,0.019336625,464079,7093,0.1159155929063851,1.0,2817.8887064486867,1609.6692093372033,Bee,Apis mellifera
21,14,235,123.07637429846956,119.0,41.17356949408899,3,207,101.7805537448286,104.0,37.92597211324834,0,255,100.20733097693552,97.0,45.57098349712698,0.0160437916666666,385051,15767,0.0194639053667397,1.7157894736842103,2883.3258217742587,2016.365543785109,Bee,Apis mellifera
22,9,255,146.08903179879465,162.0,68.4192435397954,0,255,105.82878964291965,111.0,59.33762373156722,0,255,103.90161437250016,99.0,66.66994484915942,0.0138134166666666,331522,11680,0.0305377146188109,1.288659793814433,3270.278494338234,1746.1208728229196,Bee,Apis mellifera
23,4,255,116.20372155181408,119.0,46.68012376230329,0,255,98.59271587335496,103.0,47.23387425382765,0,255,81.48323538032759,77.0,45.55266135576797,0.0167739166666666,402574,12385,0.032980980669831,1.431372549019608,2357.479921703836,1638.790033633568,Bee,Apis mellifera
24,0,255,77.35826999805597,75.0,44.1364841919306,0,255,51.63431491441637,44.0,34.653588575308454,0,255,50.16551104857299,38.0,39.572557564809976,0.0225047916666666,540115,10734,0.0589078158800292,0.8345323741007195,2787.7500458235745,2295.333786323283,Bee,Megachile centuncularis
25,4,255,98.57262615448822,103.0,49.209520443925015,0,255,88.2312278855401,93.0,49.10744914858367,0,255,82.66385658035601,87.0,47.791230136855766,0.0114814583333333,275555,11327,0.0269890972857996,1.7011494252873562,2997.225483115893,1337.4932663170691,Bee,Apis mellifera
26,3,255,102.49157191961925,110.0,66.54924628065606,2,255,84.50395344343652,87.0,56.551863801877325,0,255,89.83608082821462,86.0,64.94403726542984,0.0163886666666666,393328,11423,0.0378795119013651,1.4848484848484849,2890.384261989993,1071.976101370866,Bee,Andrenidae
27,9,255,108.01700955058044,108.0,44.818181233127966,0,255,73.94240878254999,69.0,41.26398317986871,0,255,60.03176149002335,52.0,40.269370113633066,0.0037650416666666,90361,5467,0.0379920514517916,0.7321428571428571,3281.170261506624,1864.806941047576,Bee,Apis mellifera
28,9,255,152.47568916506907,170.0,59.95392429036446,4,255,129.38861527952227,141.0,59.31760473583349,0,255,111.49968599193495,111.0,61.911638080460975,0.0075635,181524,8477,0.0317438465175664,0.8707482993197279,2889.6118915405127,2254.2500220356537,Bee,Apis mellifera
29,0,255,95.33711980569784,93.0,57.236789498780425,0,255,78.6028475314415,72.0,54.29438669731922,0,255,68.72074091651429,58.0,50.89894394597426,0.0149252083333333,358205,10577,0.0402361574524979,1.348529411764706,3222.525129464971,1788.3811755838135,Bee,Andrenidae
30,21,255,138.3798908363689,132.0,49.31233198542175,0,255,99.06911752008608,100.0,44.21555971264026,0,255,77.28227596136568,69.0,48.507611069783465,0.0178554583333333,428531,8620,0.0724732231972968,0.9230769230769232,2582.4748641288493,2296.8975079982547,Bee,Apis mellifera
31,8,255,130.80313615044133,139.0,50.07429689633281,0,255,110.84205566006946,120.0,49.40002021304206,0,255,93.56194740567162,95.0,47.63672063629761,0.011362125,272691,2881,0.4128517710916798,0.9448818897637796,3063.6660579190366,2113.714181986204,Bee,Apis mellifera
32,2,255,91.086939258258,81.0,68.51819481173814,0,255,76.283416406184,61.0,60.8616971237911,0,255,74.69413280391991,58.0,58.45082250831513,0.0098641666666666,236740,3530,0.2387437969360963,1.2147239263803682,3107.0118442172848,1665.4682351947283,Bee,Apis mellifera & Megachile centuncularis
33,6,255,84.73465071369456,77.0,55.267635366736165,2,255,70.85525845245272,63.0,50.38532092925772,0,255,55.49679680395623,42.0,44.80968301857826,0.0081559166666666,195742,3625,0.1871879394468696,0.9845360824742267,3569.241797876797,1959.689223569801,Bee,Apis mellifera
34,7,255,79.30026208382539,70.0,51.360768548920966,5,255,65.87739034951416,51.0,48.33149801074313,0,255,44.33584540162016,32.0,36.9909169742142,0.0080445,193068,3715,0.17579338368669,1.1411042944785277,3047.5426896223094,1863.204736155137,Bee,Apis mellifera
35,5,192,71.2880612857077,57.0,48.883767544162055,5,188,57.11564139246543,37.0,49.54143218502322,0,182,48.08397557186149,28.0,47.2021851276119,0.00541725,130014,2200,0.3375628324487433,0.625,2740.5833910194287,2097.175634931623,Bee,Apis mellifera
36,9,255,111.74829497391796,118.0,50.74702261561796,7,255,88.43912572254335,97.0,46.2221421554381,5,238,63.46918616946285,65.0,35.499562430911034,0.0094573333333333,226976,3703,0.2080091206721475,0.8608247422680413,2720.403311363316,1739.586141266037,Bee,Apis mellifera
37,11,255,142.60352556432957,151.0,63.649250228512784,8,255,117.7219869187206,128.0,62.295756441217904,0,255,91.58747307968412,88.0,53.26071983320733,0.0104475,250740,3831,0.2146886977025661,0.9851851851851852,3303.065199010928,1673.7398859376246,Bee,Apis mellifera
38,0,255,111.84182872371076,109.0,47.0269654511382,0,255,92.67999135695764,91.0,45.57876729106329,0,255,73.69265701526938,65.0,44.09892690014207,0.01157,277680,3280,0.3243446787804888,0.889763779527559,2301.729101843849,2796.7136235955054,Bee,Apis mellifera
39,4,255,92.50466791948467,87.0,50.42578035190769,0,255,68.2136465043363,65.0,44.58816868058127,0,255,53.35651800339668,45.0,41.98480314162374,0.0165848333333333,398036,4534,0.2433151693675251,0.8448275862068966,3169.291953491644,2363.566662311952,Bee,Apis mellifera
40,8,210,85.4321798033047,90.0,39.00912966809165,5,191,71.09253181418813,72.0,34.21862788442583,0,152,56.04179066405918,52.0,29.16526743057317,0.01470125,352830,4942,0.1815389781629808,0.9012345679012346,3185.594977751325,2306.67115041238,Bee,Andrenidae
41,8,255,107.5233061753377,101.0,55.84521327247111,5,255,97.90795125761043,89.0,55.9019350277954,0,255,77.16804675435327,62.0,52.38133532489914,0.0093895,225348,2983,0.3182416850252254,0.4491525423728814,2890.843779398974,1947.38143671122,Bee,Andrenidae
42,3,255,108.27123514192392,102.0,46.35064452495272,0,255,92.4546783487848,91.0,45.368179585141895,0,255,76.25330327922966,68.0,42.863069925177264,0.013253875,318093,4231,0.2232944482730178,1.027027027027027,2646.0269072252454,2131.825497574609,Bee,Apis mellifera
43,11,255,119.0475448654038,122.0,47.99796880583717,0,255,85.42250403960533,84.0,44.95245864802464,0,255,76.48012857977791,79.0,42.7223091356597,0.0193913333333333,465392,4947,0.2389708657046869,0.8012422360248447,3330.6757486162205,2194.1604153058065,Bee,Apis mellifera
44,9,255,127.00183867456124,127.0,48.30789912343073,0,255,103.29353742399702,106.0,45.1959315936269,0,255,88.42585561426334,85.0,45.46596517587922,0.0125543333333333,301304,3483,0.3121100924712744,0.8389830508474576,3187.6207285664977,2130.733637787749,Bee,Apis mellifera
45,9,235,89.05096857116627,79.0,46.040288134023065,6,217,74.80014689230957,68.0,42.82184800071397,0,250,47.33235609144046,32.0,42.04209301943399,0.0136154166666666,326770,4195,0.233339418807043,0.9702970297029704,3079.6751476573736,1994.453376992992,Bee,Megachile centuncularis
46,5,255,98.75631484772912,98.0,45.116983404329694,0,243,84.42244744012564,84.0,42.30267497143755,0,241,68.4666369442725,60.0,44.161856556184176,0.0209344583333333,502427,4679,0.2883877067903793,0.9551282051282052,2789.11421559749,1724.2014780256634,Bee,Megachile centuncularis
47,3,255,94.8547272202047,87.0,59.198221012850674,0,243,82.9542581435017,78.0,52.42729801160636,0,255,109.70195746671068,97.0,66.94287514806337,0.012116,290784,3715,0.2647663169554275,1.007936507936508,3323.0937878287664,2064.5031844943323,Bee,Megachile centuncularis
48,6,255,109.06776568767376,111.0,62.73058274468275,4,237,89.05055583925835,87.0,54.26655384488815,4,255,110.66532671651106,101.0,66.23459967379456,0.009546375,229113,3047,0.3101092263826215,0.696969696969697,3113.5139429015376,2023.9430150187895,Bee,Megachile centuncularis
49,32,255,181.83911814399312,189.0,38.70784946363298,14,255,184.90425576725968,192.0,37.77343469349943,17,255,159.38617355368032,155.0,44.09615550758479,0.01780525,427326,2736,0.7173597337033824,0.8561643835616438,2863.260264996747,2177.886725825248,Butterfly,Pieris rapae
50,10,255,122.11744739626192,121.0,54.72590692677946,4,250,95.00974827453022,88.0,53.27815148572213,4,255,104.86522653612992,102.0,56.3744061622761,0.0198496666666666,476392,5086,0.2314310427579753,0.8493150684931506,2803.972400879948,2302.9514097633883,Bee,Megachile centuncularis
51,5,247,129.2709602789892,135.0,52.81239303662712,2,248,108.5601475482077,108.0,50.47306293529595,2,255,131.83512703429622,134.0,58.2764068959622,0.0219363333333333,526472,4482,0.3293376923868616,1.38135593220339,3125.997105259159,1520.172514397727,Bee,Megachile centuncularis
52,7,245,109.41142564077415,110.0,47.05223512411098,0,240,97.11783828625605,98.0,47.8768050166617,6,255,105.92190564927422,102.0,51.5217163980035,0.020392,489408,4120,0.362315151618241,0.937984496124031,2943.5635706813127,1614.9186363933568,Bee,Megachile centuncularis
53,19,255,124.50289953991609,118.0,48.61106263466452,0,234,105.12211436371908,102.0,46.842134271510666,1,241,105.5917614641792,98.0,46.93231968967758,0.0164825,395580,3436,0.4210540798265565,0.7704918032786885,2652.7513423327773,2413.306203549219,Bee,Megachile centuncularis
54,7,234,111.74148166995316,104.0,55.12735174473065,0,240,99.25816494568484,91.0,55.87585840050301,0,238,84.50671783672229,70.0,53.71306247538559,0.01179075,282978,3956,0.2272217869586084,1.0092592592592593,3274.443596321976,1353.196990578773,Bee,Megachile centuncularis
55,4,220,71.99095195024037,67.0,40.42840314215665,0,191,47.83719705605392,38.0,38.23780394746878,0,170,33.5946963126332,22.0,31.981206024457013,0.0134513333333333,322832,3920,0.2640063097519367,0.9285714285714286,3074.1406923725035,2400.082086038559,Bee,Megachile centuncularis
56,0,255,92.5645533253855,80.0,54.07594998993741,0,255,76.86732659722087,67.0,50.86139309163242,0,255,59.92730177653566,47.0,43.963559584285626,0.0085278333333333,204668,2634,0.3707048503760987,1.3472222222222223,2988.3611702855355,2255.087869134403,Bee,Anthidium manicatum
57,0,255,94.5963229374126,83.0,54.8550832070038,0,255,79.68334463324717,69.0,52.26630391162066,0,255,62.76728886817238,49.0,45.39312148954312,0.0078663333333333,188792,2647,0.3385989201085305,1.3333333333333333,2821.1126954531974,1992.51555150642,Bee,Anthidium manicatum
58,3,255,74.82939508506617,68.0,49.49227729865104,1,255,60.47057527794688,54.0,43.824063296595405,0,255,52.16240668354106,39.0,43.68838297700684,0.0104036666666666,249688,3301,0.2879496042807508,1.1927710843373494,3171.9594533978407,2528.408493800263,Bee,Anthidium manicatum
59,3,255,84.08003167269611,74.0,57.53349456179204,0,255,68.2764568713769,60.0,51.72035802733615,0,255,62.41357930523471,43.0,54.71550666708135,0.0114715,275316,3811,0.2382118805546132,1.04,3350.395036975693,2479.878074648768,Bee,Anthidium manicatum
60,6,255,107.65947527052766,104.0,54.97686060175823,6,255,85.07537099441154,78.0,51.04521187023133,0,255,68.8714130230027,57.0,46.31843397196173,0.0079628333333333,191108,2996,0.2675500974336807,1.0680272108843538,2849.223308286414,2097.301933984972,Bee,Anthidium manicatum (+Apis mellifera)
61,4,211,75.80724840901736,70.0,49.46692969852889,3,193,52.75580255145567,47.0,34.12138298515471,3,240,69.63907247428442,58.0,46.39927561159466,0.0169968333333333,407924,4915,0.2121983864657356,0.84472049689441,3714.814592914367,2336.4172051656683,Bee,Anthidium manicatum
62,3,193,59.27995171491021,49.0,40.58584645452308,0,182,40.5533088999144,33.0,31.240178397912853,0,208,49.027884431590586,42.0,32.39865906228563,0.0200545,481308,5760,0.1823005493964048,0.6764705882352942,2441.2136095805595,1669.9247467318226,Bee,Anthidium manicatum
63,0,255,73.0190085830942,46.0,65.25463976448916,0,255,57.99138530382131,33.0,58.797617514820814,0,255,59.9767662339304,41.0,54.731540009823576,0.0131848333333333,316436,3060,0.424671285800452,1.4457831325301205,2794.3980836567266,1736.7959144977185,Bee,Anthidium manicatum
64,1,187,67.26484174399792,69.0,44.36605732289278,0,185,50.05345592355841,41.0,35.2794171479545,0,196,55.19816431269373,49.0,35.77181740908694,0.02632075,631698,5975,0.222353283292582,1.3795620437956204,2633.491848953139,2293.66958578308,Bee,Anthidium manicatum
65,2,202,59.47885162858333,51.0,41.52924318853662,0,177,39.97087426694976,31.0,31.198525113432456,0,225,52.61118639786452,43.0,38.92540580006507,0.0244128333333333,585908,5937,0.2088840090025007,0.70625,3373.477829283778,1831.8170429487225,Bee,Anthidium manicatum
66,0,255,91.45933148573748,93.0,66.04640040410699,0,255,72.9335169663377,66.0,58.18152926965298,0,255,70.81611802081925,57.0,59.954408305061946,0.0246566666666666,591760,6612,0.1700943076867217,1.423264907135875,2687.230444774909,1850.622211707449,Bee,Anthidium manicatum
67,0,255,110.33575888522968,99.0,59.10087198833934,0,255,89.91863375911366,85.0,54.38322765275496,0,255,88.1391178542194,74.0,55.414982527553725,0.0175103333333333,420248,5088,0.2039958413502997,1.7766990291262137,2671.304658201824,1764.2638917972245,Bee,Anthidium manicatum
68,5,255,109.28607334922944,104.0,59.923689298199605,4,255,92.61858091020758,88.0,54.36656872153176,4,255,84.73291683440168,74.0,52.80507302480723,0.0161465,387516,4097,0.2901132569954719,1.0714285714285714,3904.984991587444,2228.6927197844734,Bee,Anthidium manicatum
69,0,232,63.17977607310057,52.0,46.06679906450284,1,253,61.18455167616147,56.0,41.13404586926272,0,255,54.62972154849869,48.0,44.47146614823877,0.017729,425496,4214,0.301103832419539,0.8045112781954887,2840.400483200782,2292.135380826141,Bee,Xylocopa
70,0,255,50.69719805233796,40.0,37.87117693518929,0,255,48.74256525868751,41.0,34.63127780344889,0,255,44.75581896787013,39.0,37.399605135251626,0.0152661666666666,366388,3844,0.311590599770519,0.5634920634920635,2950.4872867015297,2384.6624125244275,Bee,Xylocopa
71,6,255,99.345234920481,93.0,50.06103383541019,4,255,73.5363047905353,66.0,45.85563568344358,0,255,54.45639182505818,44.0,42.749782532881866,0.0068746666666666,164992,2533,0.323148668979049,1.1285714285714286,3416.4022740496507,1652.891946276183,Hover fly,Eristalis
72,7,255,128.65015824573302,137.0,60.84687978631944,0,255,115.84637730304058,123.0,63.483965013848746,0,255,74.54777325647112,70.0,48.48574799265993,0.0073725,176940,3019,0.2439549647531267,0.3108108108108108,3699.0143099355714,1451.2459364756414,Hover fly,Eristalis
73,5,255,135.72293625581418,142.0,56.91482763043282,0,255,118.43931877554364,125.0,61.89142409699763,0,255,91.79726654590802,87.0,60.60547157580654,0.0183101666666666,439444,4619,0.2588317082891413,0.9758064516129032,3663.2477130191783,1966.651077270369,Hover fly,Eristalis
74,6,255,128.26827255580005,130.0,47.53618934992456,3,255,108.82296005580008,108.0,53.56727055160387,1,255,76.27223406554542,69.0,45.67928054050975,0.0169653333333333,407168,3992,0.3210720031184729,1.148148148148148,3375.634234517448,1760.7671526249608,Hover fly,Eristalis
75,12,255,105.55332108164872,90.0,59.65607774506151,6,255,81.65403868031855,67.0,54.494725307105824,2,255,78.60267786820688,65.0,53.323136286219366,0.00476125,114270,2508,0.228290073058166,1.276190476190476,2973.254642513345,2281.5175986698173,Bee,Macropis fulvipes ?
76,5,255,110.83375068520456,111.0,61.55467502324706,0,255,90.53487068321124,96.0,58.38615622612765,0,255,64.45392933672198,60.0,49.203196265409794,0.013378,321072,3156,0.4050776746777896,0.5343511450381679,3201.5142647132107,2150.691626800219,Hover fly,Eristalis
77,0,255,84.87350331362124,74.0,56.43332910992632,0,255,68.95140997069507,57.0,53.60675619955159,0,255,67.02446756862676,52.0,53.4191565666186,0.007123375,170961,3171,0.2136556733547531,1.1682242990654206,3151.10220459637,1700.1125695334024,Bee,Macropis fulvipes ?
78,0,255,84.15991308534143,72.0,60.52150962836234,1,255,73.16555909938876,55.0,57.559225680650094,0,255,44.343848058390144,30.0,40.83407674502841,0.0193868333333333,465284,6416,0.1420362742839478,1.2148148148148148,3077.894851316615,1798.8484194599428,Wasp,Vespula germanica
79,4,255,85.31110408902556,86.0,60.530344353891365,3,255,65.12718263792969,59.0,48.82967500486502,0,255,44.00724179719059,26.0,44.88349078717169,0.0127903333333333,306968,4871,0.1625798466267088,1.7419871794871795,2440.9483203460945,2045.404589403456,Wasp,Vespula germanica
80,2,255,76.4423939560872,70.0,57.97136115149376,0,255,59.143382256499045,46.0,49.17503235619132,0,255,43.44553854830671,21.0,48.38407487797402,0.012707,304968,4420,0.1961641302142629,1.9565972222222223,2996.774140237664,1867.0641641090208,Wasp,Vespula germanica
81,3,255,88.10591630514726,87.0,60.11675446258074,2,255,68.73323331592356,58.0,52.76957913598319,0,255,48.52152594945479,25.0,49.50401447955212,0.0156361666666666,375268,5504,0.1556662796939099,1.9243827160493827,2764.330771608557,1874.2526407793896,Wasp,Vespula germanica
82,0,255,112.94482970687385,116.0,56.71495982213772,0,255,96.30270307206813,96.0,53.95494139550035,0,243,75.13899782992223,65.0,50.73854161327515,0.0402443333333333,965864,11751,0.0878974327532776,1.881188118811881,2735.334560559251,1940.844383888415,Dragonfly,Aeshnidae
83,1,255,93.7656948629336,66.0,78.5587675342281,0,242,83.5069122211484,54.0,72.62943819410299,0,234,61.49863658227139,40.0,53.19102758397679,0.1874578333333333,4498988,11191,0.4514263519177466,1.6920415224913494,3196.9260767088067,2370.4136103497053,Butterfly,Papilio machaon
84,3,255,100.18287096586808,95.0,69.51829678158431,1,243,84.79046579753201,69.0,65.67095152522523,0,255,82.13378505099458,66.0,66.8795716506481,0.015821865720477,241006,2396,0.5275505635921742,0.8833333333333333,2525.2900508701027,1038.0281071840534,Bumblebee,Bombus hortorum
85,4,233,77.69553858140547,75.0,52.77881863652352,0,174,22.564004252124484,13.0,25.33270898989938,0,159,22.72829697367342,13.0,25.43445812575944,0.0528363333333333,1268072,8592,0.215856554418036,1.3345375722543351,2807.1967396173086,2592.159189699008,Bumblebee,Bombus hortorum x2
86,2,255,91.79119826222774,86.0,66.16599037677628,1,255,73.792719141089,61.0,58.68186080433406,0,255,61.99315850609336,45.0,55.982204886129935,0.0253965,609516,4886,0.3208396613218776,1.0289855072463767,2875.7201976650326,1289.3835371015691,Bumblebee,Bombus hortorum
87,0,255,67.63741073183516,44.0,64.11920735358866,0,255,52.78134868636572,27.0,59.016757562236094,0,255,37.9847687217454,18.0,54.78764322695573,0.0254383333333333,610520,3695,0.5619282604018482,1.8780487804878048,3078.047533250344,2227.85662058573,Bumblebee,Bombus hortorum
88,5,249,90.54806037718416,88.0,57.64051144793565,0,210,39.04691608248931,31.0,34.50137443299979,0,176,39.15233555455466,25.0,36.03608649438299,0.0432945,1039068,5497,0.4321180028611249,1.1895424836601307,2924.533004577179,2256.899767868898,Bumblebee,Bombus hortorum x2
89,0,200,81.51463298859942,91.0,54.26400797878663,0,184,70.09355283166288,69.0,51.06557496605097,0,193,65.46795738853557,51.0,50.652295073106345,0.0198381666666666,476116,3903,0.3927584502866236,0.926829268292683,3215.516907644356,1996.2117887237564,Bumblebee,Bombus hortorum
90,1,255,81.16849171546137,74.0,49.59129829258736,1,255,59.108829096009394,50.0,42.399479161628,0,255,57.07836725727274,45.0,44.602700205003934,0.0197255,473412,5044,0.2338293220013864,1.009090909090909,2917.719964850912,2245.9291188225056,Bumblebee,Bombus pascuorum
91,3,255,89.4987675260541,80.0,64.29633802438006,0,255,71.18484257706395,55.0,57.53409804531566,0,255,55.7479965697726,41.0,50.37184084880473,0.0394531666666666,946876,4735,0.5307170084973121,1.1538461538461535,2252.0678652748616,1237.8021831792123,Bumblebee,Bombus hortorum
92,2,230,81.0776030255927,84.0,53.409697245301096,2,215,68.28644480618827,66.0,48.60526503889549,0,255,71.70087634480986,62.0,57.075468764059096,0.0340429166666666,817030,5547,0.3336810440283511,0.7843137254901961,2486.206144205232,1516.9124144768246,Bumblebee,Bombus hortorum
93,1,236,75.54917430640879,68.0,51.2400177459449,0,218,56.114034428243706,45.0,44.06745153207635,0,255,42.42026171307792,30.0,40.30506630148734,0.0387956666666666,931096,4266,0.642928418488656,0.9125,3133.94956481394,1928.9374028027185,Bumblebee,Bombus hortorum
94,3,255,96.504565997827,92.0,61.53062994815627,0,255,83.50684331635414,68.0,61.6946069417265,0,255,44.77779877799398,37.0,38.59714770491172,0.0403435,968244,7218,0.2335398102509966,0.8617511520737328,2544.313264011964,2788.0992353167176,Bumblebee,Bombus hortorum
95,0,255,71.71341695446867,55.0,62.06717409062754,0,255,54.98213657670332,38.0,50.52922798857918,0,255,31.641768670614216,21.0,31.17620335523289,0.0289068333333333,693764,4250,0.4826627290184333,1.2941176470588236,1886.3500498728677,2223.5374565414177,Bumblebee,Bombus hortorum
96,2,255,105.84271684901933,107.0,64.73697664056229,2,255,87.9574906084964,90.0,56.50285266766687,0,255,64.019556693643,53.0,50.846824559479096,0.0365135,876324,4738,0.490551329614955,1.5083333333333333,2810.409528895705,1851.4311647290272,Bumblebee,Bombus hortorum
97,3,255,100.59977207645466,93.0,71.1289928934385,0,255,81.1874935310252,66.0,66.11335605476242,0,255,70.2089996377374,49.0,65.63988891007811,0.038646,927504,4592,0.5527412756493959,1.5847457627118644,2914.5598552674705,2037.3237031861856,Bumblebee,Bombus hortorum
98,0,174,53.36859809370013,29.0,50.0597273037601,0,170,49.71052722880014,21.0,51.0711290980852,0,196,40.64542633116125,14.0,45.36482638558493,0.0264211666666666,634108,5962,0.2241760192256376,1.25,2642.791902956594,1205.1894251452434,Bumblebee,Bombus hortorum
99,0,255,60.03841173585615,53.0,44.533548857686455,0,255,44.70160288583621,31.0,37.34834650680289,0,255,34.32901787146662,21.0,32.72125957511559,0.0363615,872676,4794,0.4771630841157019,0.6098901098901099,3294.051405103384,2345.636621151493,Bumblebee,Bombus hortorum
100,1,255,57.15088231038384,35.0,51.68615609291158,1,255,48.67015962484544,27.0,46.36411961900147,0,255,43.05535075372919,22.0,44.3313830106659,0.0253406666666666,608176,4524,0.3734168829585745,0.9923076923076924,2870.87990318592,1895.7785049064744,Bumblebee,Bombus hortorum
101,0,255,79.70279900445274,75.0,58.74918258336516,0,255,64.67220342608256,53.0,52.89373196272036,0,255,56.63262945031013,40.0,51.07557512996772,0.0257145,617148,4732,0.3463456345453176,0.68125,2922.137075709554,1799.5320474181233,Bumblebee,Bombus hortorum
